,review,stars
0,"•Positive -size- almost same as expected not too short or long.shape- not too wired. simple.cushioning - memory foam used. feel good.value for money - yesgrip- justified in this price range. soft grip.• Negative -package - worst packaging. only company packing, no Amazon packing. Amazon just seal the company shoebox with its branding tape.• Durability - not tested. hope it survive more or less 2 yrs.",4.0
1,Fabulous shoes with great comfortIt has nice design good for walking not for jogging overall good experience with this shoes it's worth buying 😀,4.0
2,Very comfort and good products. Recommended for more purchased of such products,4.0
3,Memory foam really do a good job but the inner pad comes up every time when you remove your feet even when you wear socks. Apart from this rest everything is good,4.0
4,,4.0
5,If someone get it approx 600 ₹ then it is very good deal.,4.0
6,Apna size mangane ke bad bhi bada ho rha,4.0
7,"I recently purchased a pair of walking shoes, and I must say, I am thoroughly impressed! Not only did they arrive promptly, but they are also the best shoes I've found in this price range. The quality is top-notch, and the comfort level is unparalleled. They fit perfectly, and I've had no issues with blisters or discomfort. I've worn them on several walks, and my feet feel great even after extended periods of wear. I highly recommend these walking shoes to anyone looking for an affordable, high-quality option. Thank you for providing such a fantastic product!",4.0
8,Very good product and very comfort,4.0
9,Light weight shoes. Go for it,4.0
10,Comfortable... awesome,4.0
11,Like it,4.0
12,"Inner sole is loose, it comes out when we remove shoes. Otherwise very good quality",4.0
13,Good shoe for the money,4.0
14,,4.0
15,"Shoes are lightweight,well- fitting and have good finish... overall a good value for money product...in my experience Campus shoes are really good.",4.0
16,Best product,4.0
17,the comfort was good and also the material built type is good... but the fitting was little tighter i would recommend the customers to buy the size of shoes with adding 1 no. to their normal foot sizealso the brand company should take care of this and make the size little bigger so that customers don't have to add 1 size to their normal fitting size and buy this product,4.0
18,Worth of money,4.0
19,"Keeping the price in mind, this shoe does justice to the amount you pay.Don't expect it to last for years and better avoid using it in rainy season",4.0
20,Very comfortable shoes.,4.0
21,Nice,4.0
22,Superb Comfort 🤠,4.0
23,Product is ok but packaging was very very very bad .... campus should work on packaging deptt. .... It doesn't look branded shoes If it comes in bad packing ... but for now product is well and good .... except packing ...,4.0
24,Shoes are comfortable but you have to adjust for first few days. Fitting is weird but after few days it felt comfortable.,4.0
25,For walking & Jogging good shoes for my father,4.0
26,Very gud,4.0
27,Product is pretty good and light weight to carry with. I will be in better position write review after using it for at least 6 months.,4.0
28,It's cool😎👍,4.0
29,Value for money,4.0
30,Very good product and very very comfortable,4.0
31,"It is a great product. Very light, comfortable. Size is smaller than that of Bata's. I would recommend this product, while keeping the size issue in perspective.",4.0
32,"Best under this price range, good quality and comfort, must have a pair",4.0
33,Value for money thanks to campus.. like it 😉,4.0
34,Bhut accha product hai.... But pahante samay thodi pareshani hoti hai. Isme ke less dena chahea jisse pahante samay comfortable ho...,4.0
35,Nice articalLight and comfortable,4.0
36,Very nice sneakers,4.0
37,"much better than local brands, campus is trustworthy",4.0
38,Amazing amazon delivery multiple times multiple exchanges for right size of the shoes. But they take a lot of time to pick up the product and refund the money.,4.0
39,good,4.0
40,good,4.0
41,It is a very good product,4.0
42,Nice and comfortable,4.0
43,"I recently purchased the Campus Men's Oxyfit shoes and I couldn't be happier with my purchase. The fit is perfect, they're incredibly comfortable, and the breathability feature is a game changer. It really helped my feet to stay dry and fresh. I appreciate the attention to detail in the design, they look great and they are easy to clean. I've worn these shoes for various activities like running and gym workout and they have been very supportive. Overall, I highly recommend these shoes and I believe they are worth the money.",4.0
44,I compared campus shoes with Sparx/bacca Bucci/red tape with this shoes but i found this comfortable and good looking. With low price.,4.0
45,"The media could not be loaded.
                



 Quality is outstanding at this price but right foot size is small and very tight and I am unhappy for this. Wearing left foot is very smooth and comfortable but right foot is very tight to wear.",4.0
46,Good quality good comfort,4.0
47,Very light shoes with perfect grip,4.0
48,Over all good,4.0
49,It’s a value of money. Fits as expected and comfortable,4.0
50,"not fit properly, even i have order one size extra i.e 9 no size is still not fit for me",4.0
51,Awesome,4.0
52,Lite,4.0
53,"I like the product quality and packaging... It's 100% recyclable. The dislike moment is that 9Uk in India size is not that large compared to this product's size... Hopefully, Thank u Amazon❤️",4.0
